,keep as it is,Same as attendeefk,,Just write the name I will convert to id,keep it as it is,,optional,optional,keep it as it is,keep it as it is,keep it as it is,"1 = done, -1 cancelled",
date_created,date_updated,created_by,candidatefk,attendeefk,type,date_meeting,location,description,date_reminder1,date_reminder2,reminder_update,meeting_done,date_met
2007/06/06 19:40,NULL,308,156110,89,1,2007/06/06 19:40,,Phone assessed,NULL,NULL,NULL,1,2007/06/06 19:40
2008/03/24 21:43,NULL,333,154832,333,1,2008/03/24 21:43,,Assessed in person,NULL,NULL,NULL,1,2008/03/24 21:43
2007/10/18 15:41,NULL,371,149762,322,1,2007/10/18 15:41,,Assessed in person,NULL,NULL,NULL,1,2007/10/18 15:41
2007/05/16 15:01,NULL,99,149207,99,1,2007/05/16 15:01,,Phone assessed,NULL,NULL,NULL,1,2007/05/16 15:01
2007/10/23 14:06,NULL,286,148931,295,1,2007/10/23 14:06,,Assessed in person,NULL,NULL,NULL,1,2007/10/23 14:06
2011/10/28 11:27,NULL,276,148524,276,1,2011/10/28 11:27,,Assessed in person,NULL,NULL,NULL,1,2011/10/28 11:27
2007/04/27 16:58,NULL,102,146313,102,1,2007/04/27 16:58,,Phone assessed,NULL,NULL,NULL,1,2007/04/27 16:58
2010/05/21 16:51,NULL,351,145349,351,1,2010/05/21 16:51,,Assessed in person,NULL,NULL,NULL,1,2010/05/21 16:51
2008/08/04 15:40,NULL,335,144956,335,1,2008/08/04 15:40,,Phone assessed,NULL,NULL,NULL,1,2008/08/04 15:40
2007/04/05 20:13,NULL,276,144912,276,1,2007/04/05 20:13,,Phone assessed,NULL,NULL,NULL,1,2007/04/05 20:13
2007/06/11 10:49,NULL,248,141978,295,1,2007/06/11 10:49,,Assessed in person,NULL,NULL,NULL,1,2007/06/11 10:49
2007/08/20 11:45,NULL,133,140519,133,1,2007/08/20 11:45,,Assessed in person,NULL,NULL,NULL,1,2007/08/20 11:45
2008/06/26 17:10,NULL,137,140346,326,1,2008/06/26 17:10,,Assessed in person,NULL,NULL,NULL,1,2008/06/26 17:10
2007/03/14 13:29,NULL,122,139757,276,1,2007/03/14 13:29,,Assessed in person,NULL,NULL,NULL,1,2007/03/14 13:29
2007/04/23 11:18,NULL,292,139388,160,1,2007/04/23 11:18,,Assessed in person,NULL,NULL,NULL,1,2007/04/23 11:18
2007/04/24 21:50,NULL,403,138994,295,1,2007/04/24 21:50,,Assessed in person,NULL,NULL,NULL,1,2007/04/24 21:50
2007/03/23 18:59,NULL,39,138898,354,1,2007/03/30 12:14,,Assessed in person,NULL,NULL,NULL,1,2007/03/30 12:14
2007/03/23 19:56,NULL,74,138611,99,1,2007/03/23 19:56,,Assessed in person,NULL,NULL,NULL,1,2007/03/23 19:56
2007/04/16 12:21,NULL,292,138482,160,1,2007/04/16 12:21,,Assessed in person,NULL,NULL,NULL,1,2007/04/16 12:21
2007/04/04 17:24,NULL,137,137473,99,1,2007/04/04 17:24,,Phone assessed,NULL,NULL,NULL,1,2007/04/04 17:24
2012/09/26 13:03,NULL,99,136741,99,1,2012/09/26 13:03,,Assessed in person,NULL,NULL,NULL,1,2012/09/26 13:03
2007/03/07 20:50,NULL,348,135726,333,1,2007/03/07 20:50,,Assessed in person,NULL,NULL,NULL,1,2007/03/07 20:50
2007/03/07 16:18,NULL,137,134572,99,1,2007/03/07 16:18,,Phone assessed,NULL,NULL,NULL,1,2007/03/07 16:18
2008/10/03 14:32,NULL,276,132885,276,1,2008/10/03 14:32,,Assessed in person,NULL,NULL,NULL,1,2008/10/03 14:32
2008/06/25 19:13,NULL,335,132857,335,1,2008/06/25 19:13,,Phone assessed,NULL,NULL,NULL,1,2008/06/25 19:13
